date,Temperature (F)
2016-01-01,36.464000000000034
2016-01-02,38.46200000000006
2016-01-03,40.424000000000014
2016-01-04,29.660000000000082
2016-01-05,30.182000000000016
2016-01-06,37.79600000000005
2016-01-07,41.27000000000006
2016-01-08,39.2
2016-01-09,44.041999999999994
2016-01-10,44.096000000000046
2016-01-11,28.65200000000008
2016-01-12,31.388000000000044
2016-01-13,24.188000000000045
2016-01-14,41.81000000000008
2016-01-15,41.93600000000007
2016-01-16,41.25200000000008
2016-01-17,30.704000000000054
2016-01-18,20.768000000000086
2016-01-19,21.77600000000009
2016-01-20,27.482000000000017
2016-01-21,29.912000000000056
2016-01-22,25.358000000000004
2016-01-23,27.680000000000042
2016-01-24,30.614000000000033
2016-01-25,35.83399999999999
2016-01-26,35.79800000000002
2016-01-27,34.97000000000006
2016-01-28,38.53399999999999
2016-01-29,34.10600000000003
2016-01-30,43.016000000000005
2016-01-31,51.09800000000003
2016-02-01,48.07400000000001
2016-02-02,48.83000000000004
2016-02-03,53.18600000000007
2016-02-04,45.62600000000009
2016-02-05,37.58000000000004
2016-02-06,39.92000000000006
2016-02-07,44.27600000000009
2016-02-08,38.96600000000001
2016-02-09,32.162000000000056
2016-02-10,28.022000000000038
2016-02-11,23.03600000000007
2016-02-12,24.92600000000009
2016-02-13,20.60600000000003
2016-02-14,20.33600000000007
2016-02-15,30.488000000000046
2016-02-16,41.846000000000046
2016-02-17,38.78600000000007
2016-02-18,35.51000000000008
2016-02-19,43.03399999999999
2016-02-20,55.814000000000036
2016-02-21,52.43000000000004
2016-02-22,48.12800000000007
2016-02-23,44.294000000000075
2016-02-24,53.852000000000075
2016-02-25,50.32400000000001
2016-02-26,34.898000000000025
2016-02-27,42.40400000000005
2016-02-28,58.478000000000065
2016-03-01,52.483999999999995
2016-03-02,42.314000000000036
2016-03-03,36.391999999999996
2016-03-04,38.62400000000001
2016-03-05,40.51400000000003
2016-03-06,45.42800000000007
2016-03-07,57.236000000000075
2016-03-08,68.36000000000008
2016-03-09,70.25
2016-03-10,65.984
2016-03-11,59.73800000000004
2016-03-12,60.51200000000006
2016-03-13,56.84000000000002
2016-03-14,56.13800000000005
2016-03-15,59.81000000000009
2016-03-16,62.74400000000007
2016-03-17,58.62200000000004
2016-03-18,55.41800000000009
2016-03-19,43.25
2016-03-20,43.17800000000007
2016-03-21,46.09400000000007
2016-03-22,56.26400000000004
2016-03-23,60.440000000000026
2016-03-24,62.74400000000007
2016-03-25,57.90200000000008
2016-03-26,56.498000000000026
2016-03-27,59.91800000000009
2016-03-28,55.616000000000014
2016-03-29,53.564000000000036
2016-03-30,59.86400000000003
2016-03-31,65.71400000000003
2016-04-01,65.55200000000008
2016-04-02,54.788000000000046
2016-04-03,48.524000000000015
2016-04-04,54.608000000000004
2016-04-05,42.98000000000004
2016-04-06,52.556000000000026
2016-04-07,51.33200000000002
2016-04-08,45.89600000000005
2016-04-09,38.39000000000002
2016-04-10,48.41600000000001
2016-04-11,60.458000000000006
2016-04-12,54.17600000000009
2016-04-13,56.26400000000004
2016-04-14,61.28600000000007
2016-04-15,64.88600000000008
2016-04-16,68.05400000000006
2016-04-17,72.87800000000007
2016-04-18,77.73800000000006
2016-04-19,68.09000000000003
2016-04-20,69.40400000000005
2016-04-21,67.94600000000005
2016-04-22,67.37000000000006
2016-04-23,63.788000000000046
2016-04-24,67.78399999999999
2016-04-25,74.174
2016-04-26,72.37400000000002
2016-04-27,61.57400000000001
2016-04-28,58.01000000000008
2016-04-29,56.73200000000001
2016-04-30,58.62200000000004
2016-05-01,62.096000000000046
2016-05-02,66.86600000000001
2016-05-03,62.45600000000003
2016-05-04,57.16400000000003
2016-05-05,57.41600000000001
2016-05-06,59.66600000000001
2016-05-07,64.94000000000003
2016-05-08,64.41800000000009
2016-05-09,64.45400000000006
2016-05-10,64.83200000000002
2016-05-11,69.51200000000006
2016-05-12,73.68800000000005
2016-05-13,67.73000000000005
2016-05-14,61.772000000000034
2016-05-15,54.733999999999995
2016-05-16,62.24000000000002
2016-05-17,58.87400000000001
2016-05-18,63.806000000000026
2016-05-19,68.07200000000003
2016-05-20,69.89000000000001
2016-05-21,62.81600000000001
2016-05-22,66.50600000000003
2016-05-23,71.56400000000004
2016-05-24,77.09000000000003
2016-05-25,80.67200000000004
2016-05-26,80.58200000000002
2016-05-27,82.13000000000005
2016-05-28,83.19200000000001
2016-05-29,79.79000000000002
2016-05-30,79.37600000000009
2016-05-31,82.07600000000009
2016-06-01,82.04000000000002
2016-06-02,78.17000000000007
2016-06-03,78.72800000000007
2016-06-04,78.99800000000002
2016-06-05,76.38800000000005
2016-06-06,79.77200000000005
2016-06-07,75.74000000000002
2016-06-08,66.542
2016-06-09,72.78800000000004
2016-06-10,77.64800000000002
2016-06-11,84.88399999999999
2016-06-12,79.808
2016-06-13,77.05400000000006
2016-06-14,78.80000000000001
2016-06-15,82.25600000000003
2016-06-16,79.19600000000005
2016-06-17,79.808
2016-06-18,83.48000000000005
2016-06-19,86.18000000000004
2016-06-20,87.15200000000007
2016-06-21,84.74000000000002
2016-06-22,80.63600000000008
2016-06-23,82.70600000000003
2016-06-24,81.28399999999999
2016-06-25,84.66800000000009
2016-06-26,85.65800000000002
2016-06-27,85.13600000000008
2016-06-28,80.61800000000008
2016-06-29,79.82600000000009
2016-06-30,81.71600000000001
2016-07-01,81.33800000000005
2016-07-02,76.58600000000007
2016-07-03,75.97400000000002
2016-07-04,78.63800000000005
2016-07-05,86.27000000000007
2016-07-06,88.484
2016-07-07,88.19600000000005
