date,Peak Demand (MW)
2016-05-15,24489
2016-05-16,27144
2016-05-17,27257
2016-05-18,26628
2016-05-19,26756
2016-05-20,27051
2016-05-21,28049
2016-05-22,30417
2016-05-23,30679
2016-05-24,34400
2016-05-25,36096
2016-05-26,35681
2016-05-27,32432
2016-05-28,31189
2016-05-29,32746
2016-05-30,31513
2016-05-31,33383
2016-06-01,32241
2016-06-02,33046
2016-06-03,33864
2016-06-04,32878
2016-06-05,33886
2016-06-06,38050
2016-06-07,37729
2016-06-08,40769
2016-06-09,42715
2016-06-10,43129
2016-06-11,41774
2016-06-12,40560
2016-06-13,40391
2016-06-14,43398
2016-06-15,47047
2016-06-16,47115
2016-06-17,48071
2016-06-18,46600
2016-06-19,42011
2016-06-20,45288
2016-06-21,46884
2016-06-22,48196
2016-06-23,47270
2016-06-24,44555
2016-06-25,43847
2016-06-26,43094
2016-06-27,45245
2016-06-28,44276
2016-06-29,43957
2016-06-30,43737
2016-07-01,42308
2016-07-02,37577
2016-07-03,35842
2016-07-04,38813
2016-07-05,47179
2016-07-06,47244
2016-07-07,46360
2016-07-08,44892
2016-07-09,43330
2016-07-10,44508
2016-07-11,47124
2016-07-12,46173
2016-07-13,46322
2016-07-14,45841
2016-07-15,41086
2016-07-16,42380
2016-07-17,44633
2016-07-18,47632
2016-07-19,47695
2016-07-20,49927
2016-07-21,50500
2016-07-22,50022
2016-07-23,48679
2016-07-24,46645
2016-07-25,45926
2016-07-26,45748
2016-07-27,45797
2016-07-28,45263
2016-07-29,43215
2016-07-30,41301
2016-07-31,42626
2016-08-01,46952
2016-08-02,48110
2016-08-03,49660
2016-08-04,49447
2016-08-05,47979
2016-08-06,43141
2016-08-07,39940
2016-08-08,43013
2016-08-09,47407
2016-08-10,49127
2016-08-11,50060
2016-08-12,48071
2016-08-13,41186
2016-08-14,39680
2016-08-15,39473
2016-08-16,43585
2016-08-17,44901
2016-08-18,43948
2016-08-19,42330
2016-08-20,39226
2016-08-21,35866
2016-08-22,40288
2016-08-23,42453
2016-08-24,43193
2016-08-25,41905
2016-08-26,39880
2016-08-27,39977
2016-08-28,41219
2016-08-29,42152
2016-08-30,42147
2016-08-31,39977
2016-09-01,37515
2016-09-02,35910
2016-09-03,34087
2016-09-04,36134
2016-09-05,40813
2016-09-06,43362
2016-09-07,42365
2016-09-08,41287
2016-09-09,40417
2016-09-10,38135
2016-09-11,32948
2016-09-12,37912
2016-09-13,36893
2016-09-14,35311
2016-09-15,36883
2016-09-16,35305
2016-09-17,34291
2016-09-18,36904
2016-09-19,43015
2016-09-20,43655
2016-09-21,42303
2016-09-22,41558
2016-09-23,40787
2016-09-24,38268
2016-09-25,34947
2016-09-26,30188
2016-09-27,31802
2016-09-28,32230
2016-09-29,30958
2016-09-30,29660
2016-10-01,28321
2016-10-02,30390
2016-10-03,33179
2016-10-04,32729
2016-10-05,34129
2016-10-06,34414
2016-10-07,33042
2016-10-08,26673
2016-10-09,25991
2016-10-10,29092
2016-10-11,30874
2016-10-12,30719
2016-10-13,28703
2016-10-14,28110
2016-10-15,29455
2016-10-16,33177
