,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,55850.0,54075.5,52463.0,49160.5,44802.0,40589.5,37348.5,35166.5,33740.5,32779.5,32609.0,34010.0,36840.0,37501.0,37772.5,39423.0,41617.0,43881.0,46068.0,48409.0,50368.0,51661.0,52370.0,51824.0
1,51437.0,53844.0,54306.0,54149.0,52843.0,50533.0,48766.0,47788.0,47559.0,47776.0,48233.0,49471.0,52239.0,55944.0,56077.0,54301.0,52446.0,50806.0,49323.0,47977.0,47014.0,46416.0,46601.0,47520.0
2,45197.5,48242.0,49987.0,50459.5,49829.5,47946.0,46283.5,45350.5,45212.0,45532.0,46331.5,48005.0,51240.5,55540.5,55950.0,52859.5,49756.5,47010.0,44483.5,42258.5,40853.5,39687.0,39139.0,39610.0
3,52888.2,51732.4,50221.6,47506.8,43910.2,40165.4,37279.4,35412.8,34183.6,33512.0,33679.4,35379.2,38600.0,39734.2,40300.0,42561.4,45306.2,47975.8,50440.8,52820.4,54652.0,55857.8,56365.6,55568.2
4,44203.0,46645.0,47180.0,47321.0,46471.0,44496.0,42698.0,41857.0,41712.0,41826.0,42417.0,43972.0,47041.0,51431.0,53624.0,53792.0,54524.0,55020.0,54898.0,54673.0,54758.0,54832.0,55091.0,56057.0
5,51150.333333333336,49309.5,48168.166666666664,45504.666666666664,41590.333333333336,37568.666666666664,34537.333333333336,32578.5,31315.0,30657.666666666668,30813.333333333336,32381.166666666668,35430.0,36385.833333333336,37339.166666666664,39694.833333333336,42566.0,45533.5,48384.0,51222.166666666664,53435.833333333336,55146.5,56192.333333333336,55886.5
6,54580.8,52255.4,50491.0,48438.2,45742.0,42853.8,40062.0,37822.2,36172.0,35019.2,34324.6,34202.0,34414.8,34918.2,37269.6,40648.4,44023.4,47291.6,50203.2,52670.6,54542.6,55747.2,56255.0,55896.8
7,56214.8,53864.6,52487.4,50550.4,47710.2,44583.2,41805.4,39665.4,38114.0,37098.6,36641.0,36869.6,37574.4,38057.0,39870.4,42408.6,45132.6,47481.0,49258.8,50555.0,51236.6,51556.0,51648.8,51237.4
8,47846.0,49601.0,49961.0,49857.0,48758.0,46894.0,45493.0,44677.0,44606.0,45018.0,45847.0,47494.0,50755.0,55145.0,56358.0,55798.0,54857.0,53630.0,52096.0,50219.0,48662.0,47389.0,47216.0,48426.0
9,53275.0,51949.5,50972.0,49022.25,45784.25,42330.5,39641.75,37876.5,36797.5,36218.25,36411.5,38034.0,40840.0,41998.5,42933.5,44966.0,47366.75,49725.75,51892.5,53959.75,55232.0,55618.25,55633.5,54835.5
10,52917.0,54476.0,54009.0,53207.0,52403.0,51437.0,50863.0,50587.0,50650.0,50737.0,51021.0,51727.0,52953.0,54315.0,55106.0,55567.0,56087.0,55952.0,55272.0,54104.0,52642.0,51450.0,50785.0,51339.0
11,43376.0,46103.0,46999.0,47515.0,47052.0,45440.0,43930.0,43270.0,43300.0,43793.0,44684.0,46425.0,49743.0,54474.0,56206.0,54903.0,53143.0,51108.0,48835.0,46370.0,44313.0,42371.0,41201.0,41213.0
12,52474.0,50212.0,48582.0,46888.0,44188.0,41217.0,38421.0,36164.0,34389.0,33234.0,32504.0,32131.0,31834.0,31834.0,33683.0,36495.0,39655.0,42808.0,46032.0,49158.0,51751.0,53914.0,55390.0,56018.0
13,50154.5,52587.5,53104.0,52881.0,51551.0,49176.5,47109.0,46032.0,45751.5,45962.0,46618.5,48171.0,51407.0,55480.0,56191.5,53939.5,51388.0,48944.0,46442.0,44379.0,42828.0,41614.5,40941.5,41314.5
