,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,79637.0,78161.0,76976.0,75632.0,71545.0,66827.0,63397.0,61039.0,59284.0,58219.0,57899.0,59111.0,62474.0,66803.0,71107.0,75188.0,79616.0,83596.0,87716.0,91183.0,93846.0,96010.0,97160.0,97119.0
1,95802.0,93177.0,91154.0,88048.16666666667,82517.33333333333,76983.16666666667,72844.5,69859.83333333333,67825.83333333333,66918.5,67690.0,70227.66666666667,73523.33333333333,77141.0,80529.66666666667,84048.5,87592.33333333333,90535.83333333333,92994.83333333333,94919.66666666667,95893.0,96305.5,96150.0,94967.83333333333
2,95810.0,97217.0,96487.0,95010.0,92639.0,88352.0,85666.0,83212.0,81793.0,81295.0,81669.0,82898.0,86743.0,92938.0,94632.0,93427.0,91185.0,89034.0,86152.0,83863.0,82092.0,80700.0,80154.0,82954.0
3,90183.0,87933.2,86075.8,82559.6,77168.0,71957.0,68217.0,65515.6,63838.6,62938.6,63291.8,65446.8,69258.4,72311.8,75628.8,79324.4,83132.2,86604.0,89760.0,92826.2,94824.8,96083.0,96662.0,95875.8
4,96205.16666666667,92798.83333333333,90398.66666666667,87244.5,82040.0,77267.33333333333,73045.16666666667,69738.5,67387.16666666667,65943.33333333333,65378.0,65595.0,66076.33333333333,68866.83333333333,73346.33333333333,78084.33333333333,82640.83333333333,86620.5,89766.33333333333,92119.66666666667,93733.66666666667,95095.16666666667,95967.16666666667,95877.83333333333
5,94153.0,96405.0,95800.5,94651.5,92170.0,89435.5,87387.0,86281.5,85602.0,85264.5,85733.5,87357.0,90806.0,95623.5,97133.5,96498.0,95493.0,94111.0,92520.0,90890.0,89778.5,88763.0,88618.0,89903.0
6,96442.66666666667,94576.0,92581.0,87133.33333333333,80601.66666666667,75305.33333333333,71221.0,68326.66666666667,66440.66666666667,65505.0,66186.66666666667,69408.0,73820.0,75987.33333333333,78413.0,81480.0,84718.0,87572.0,90080.33333333333,92218.66666666667,93292.33333333333,93706.0,93473.66666666667,92097.33333333333
7,89285.75,86615.5,84163.0,81491.0,77264.75,72614.75,68937.0,66213.75,64070.0,62574.5,61752.75,61382.0,61360.25,63941.0,68768.0,73833.0,78820.75,83332.25,87135.0,90151.5,92348.25,94369.0,96087.25,96933.5
8,86776.0,84817.75,83775.75,81495.0,76872.0,72255.0,68938.75,66260.25,64765.5,64113.75,65002.75,67650.75,71479.0,75361.0,79212.25,82958.25,86606.0,89847.75,92368.75,94676.5,95999.0,96501.5,96497.5,95829.75
9,93509.83333333333,91222.0,89018.5,85161.5,79330.33333333333,73686.33333333333,69821.0,66781.5,64877.833333333336,63930.333333333336,64585.666666666664,67459.33333333333,71432.16666666667,74605.66666666667,77758.66666666667,81153.16666666667,84822.83333333333,88246.83333333333,91460.66666666667,94208.66666666667,95843.83333333333,96764.83333333333,96972.66666666667,95934.83333333333
10,96706.0,95989.0,92801.0,88943.0,84335.0,79355.0,75612.0,72654.0,70852.0,70055.0,70587.0,72354.0,74962.0,78768.0,82063.0,85164.0,87710.0,89460.0,91003.0,92211.0,92526.0,92017.0,90981.0,89246.0
11,96973.0,95864.0,92077.0,86338.0,79783.0,74047.0,69914.0,66761.0,64896.0,64244.0,65245.0,68912.0,74351.0,76280.0,77860.0,79927.0,82268.0,84233.0,86428.0,88109.0,88760.0,88797.0,87887.0,86251.0
12,94555.75,91122.5,88152.5,85259.5,80204.25,75305.75,71240.0,68009.75,65644.75,63991.5,63161.5,62837.75,62943.0,65974.75,70612.5,75412.75,79953.5,84008.5,87454.75,90226.0,92350.5,94018.75,95289.0,95644.0
13,95766.0,96341.0,95246.0,93659.0,90567.0,87919.0,85278.0,83283.0,82090.0,81244.0,81028.0,82251.0,84812.0,89229.0,91831.0,92834.0,93341.0,92962.0,91532.0,90057.0,88829.0,87865.0,87765.0,89947.0
