,DB
2,0.9740151329972268
3,1.1390125783101663
4,1.203177915558098
5,1.1756761571857508
6,1.265728522513159
7,1.294961080242291
8,1.2558020993240686
9,1.307760926529421
10,1.2739265339223285
11,1.2636188653549596
12,1.3914181481392243
13,1.3279513728344992
14,1.3212267538367517
