,DB
2,0.8803448475282744
3,0.8699011034995316
4,0.8866695089157499
5,0.9855793105504388
6,1.0570800935858573
7,1.1044778113182014
8,1.1836610260546032
9,1.108461412407286
10,1.163752686636362
11,1.1415424574847348
12,1.1760560420512687
13,1.1608296528018858
14,1.1259917938478397
