date,Temperature (F)
2016-01-01,54.30200000000008
2016-01-02,58.02800000000006
2016-01-03,56.60600000000003
2016-01-04,57.2
2016-01-05,53.65400000000005
2016-01-06,51.188000000000045
2016-01-07,50.59400000000008
2016-01-08,54.733999999999995
2016-01-09,53.20400000000005
2016-01-10,57.02000000000007
2016-01-11,59.03600000000007
2016-01-12,62.33000000000004
2016-01-13,59.16200000000006
2016-01-14,57.542
2016-01-15,56.39000000000002
2016-01-16,60.78200000000002
2016-01-17,62.94199999999999
2016-01-18,59.522000000000034
2016-01-19,59.55800000000001
2016-01-20,62.72600000000009
2016-01-21,66.39800000000002
2016-01-22,63.06800000000008
2016-01-23,56.58800000000005
2016-01-24,58.49600000000005
2016-01-25,62.47400000000002
2016-01-26,63.59000000000002
2016-01-27,63.35600000000003
2016-01-28,66.11000000000008
2016-01-29,66.68600000000006
2016-01-30,60.96200000000006
2016-01-31,54.64400000000008
2016-02-01,51.044000000000075
2016-02-02,53.366000000000014
2016-02-03,56.641999999999996
2016-02-04,60.49400000000007
2016-02-05,64.83200000000002
2016-02-06,67.37000000000006
2016-02-07,71.834
2016-02-08,74.4260000000001
2016-02-09,76.71200000000006
2016-02-10,75.02000000000007
2016-02-11,75.34400000000008
2016-02-12,73.22000000000006
2016-02-13,72.82400000000001
2016-02-14,75.36200000000005
2016-02-15,77.342
2016-02-16,78.566
2016-02-17,71.52800000000008
2016-02-18,60.87200000000004
2016-02-19,62.042
2016-02-20,66.14600000000004
2016-02-21,68.84600000000006
2016-02-22,71.69000000000003
2016-02-23,71.02400000000002
2016-02-24,72.51800000000009
2016-02-25,74.62400000000002
2016-02-26,72.77000000000007
2016-02-27,71.47400000000002
2016-02-28,71.45600000000003
2016-03-01,74.174
2016-03-02,72.05000000000001
2016-03-03,69.22400000000002
2016-03-04,69.13399999999999
2016-03-05,64.09400000000008
2016-03-06,61.08800000000005
2016-03-07,56.80400000000006
2016-03-08,61.97000000000006
2016-03-09,68.64800000000002
2016-03-10,72.21200000000006
2016-03-11,65.91200000000006
2016-03-12,59.37800000000007
2016-03-13,59.59400000000008
2016-03-14,63.860000000000085
2016-03-15,70.12400000000002
2016-03-16,75.14600000000004
2016-03-17,75.11000000000008
2016-03-18,71.79800000000003
2016-03-19,70.32200000000003
2016-03-20,70.358
2016-03-21,65.35400000000006
2016-03-22,62.096000000000046
2016-03-23,68.61200000000005
2016-03-24,72.32000000000006
2016-03-25,71.97800000000007
2016-03-26,72.95
2016-03-27,69.15200000000007
2016-03-28,63.860000000000085
2016-03-29,59.774000000000015
2016-03-30,61.934
2016-03-31,67.80200000000008
2016-04-01,70.7
2016-04-02,74.03000000000004
2016-04-03,73.292
2016-04-04,74.49800000000002
2016-04-05,80.18600000000006
2016-04-06,82.76000000000008
2016-04-07,76.76600000000002
2016-04-08,64.02200000000005
2016-04-09,61.95200000000008
2016-04-10,63.806000000000026
2016-04-11,66.39800000000002
2016-04-12,68.16200000000006
2016-04-13,68.32400000000001
2016-04-14,66.90200000000007
2016-04-15,70.10600000000002
2016-04-16,76.4600000000001
2016-04-17,81.10400000000006
2016-04-18,82.34600000000006
2016-04-19,81.57200000000003
2016-04-20,78.29600000000005
2016-04-21,74.82200000000003
2016-04-22,70.53800000000004
2016-04-23,70.66400000000004
2016-04-24,68.19800000000004
2016-04-25,63.53600000000007
2016-04-26,67.38800000000005
2016-04-27,65.39000000000001
2016-04-28,67.92800000000007
2016-04-29,68.73800000000006
2016-04-30,70.46600000000001
2016-05-01,75.2
2016-05-02,76.60400000000006
2016-05-03,76.76600000000002
2016-05-04,72.51800000000009
2016-05-05,66.00200000000008
2016-05-06,61.214000000000034
2016-05-07,64.92200000000004
2016-05-08,68.09000000000003
2016-05-09,70.98800000000006
2016-05-10,75.68600000000006
2016-05-11,79.03399999999999
2016-05-12,81.15800000000002
2016-05-13,76.71200000000006
2016-05-14,73.47200000000004
2016-05-15,73.16600000000001
2016-05-16,76.62200000000004
2016-05-17,80.40200000000007
2016-05-18,83.69600000000005
2016-05-19,79.01600000000002
2016-05-20,68.91800000000009
2016-05-21,62.83399999999999
2016-05-22,69.33200000000002
2016-05-23,68.45
2016-05-24,66.65
2016-05-25,66.95600000000003
2016-05-26,75.59600000000006
2016-05-27,79.98800000000006
2016-05-28,79.89800000000002
2016-05-29,78.47600000000008
2016-05-30,83.984
2016-05-31,87.62000000000006
2016-06-01,84.03800000000004
2016-06-02,89.34800000000003
2016-06-03,93.92000000000007
2016-06-04,90.46400000000003
2016-06-05,87.11600000000001
2016-06-06,82.38200000000002
2016-06-07,84.03800000000004
2016-06-08,80.34800000000003
2016-06-09,79.484
2016-06-10,77.25200000000008
2016-06-11,79.53800000000004
2016-06-12,77.61200000000005
2016-06-13,77.99000000000002
2016-06-14,75.70400000000006
2016-06-15,71.11400000000003
2016-06-16,76.24400000000009
2016-06-17,81.95
2016-06-18,86.54000000000002
2016-06-19,94.78399999999999
2016-06-20,97.97000000000007
2016-06-21,94.15400000000005
2016-06-22,89.74400000000009
2016-06-23,88.89800000000002
2016-06-24,88.05200000000008
2016-06-25,92.3180000000001
2016-06-26,94.51400000000004
2016-06-27,95.61200000000005
2016-06-28,95.14400000000008
2016-06-29,91.07600000000009
2016-06-30,90.33800000000005
2016-07-01,86.792
2016-07-02,85.78399999999999
2016-07-03,84.36200000000005
2016-07-04,83.94800000000004
2016-07-05,82.958
2016-07-06,81.53600000000007
2016-07-07,81.75200000000008
2016-07-08,84.7760000000001
2016-07-09,85.87400000000002
2016-07-10,84.11000000000008
