,DB
2,1.1606382176107695
3,1.1825015886808903
4,1.1739503801322728
5,1.1156836401340797
6,1.2074714554302368
7,1.1958944257843327
8,1.2411777457164928
9,1.2662302667997938
10,1.2703569563011587
11,1.2764916842593204
12,1.2793024773541324
13,1.339151058506457
14,1.2497733811325478
