,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,39345.45695364238,38080.801324503314,36830.867549668874,35473.834437086094,33254.80794701987,30852.086092715228,28882.589403973514,27472.655629139073,26503.311258278143,25884.894039735096,25699.543046357616,26153.45695364238,27065.82119205298,28112.953642384105,29595.397350993375,31382.907284768207,33304.06622516556,35160.470198675495,36838.18543046358,38319.21854304635,39385.29139072848,40183.71523178808,40624.430463576165,40445.125827814576
1,46159.76136363636,44817.68181818182,43236.40909090909,41817.18181818182,39375.59090909091,36600.89772727272,34233.443181818184,32503.295454545456,31228.056818181816,30391.15909090909,30115.397727272728,30593.795454545452,31583.727272727272,33054.806818181816,34997.64772727273,37219.204545454544,39529.31818181818,41728.795454545456,43656.48863636364,45324.63636363636,46379.32954545455,47153.64772727273,47431.545454545456,47110.35227272728
2,42743.34806629834,41404.099447513814,39932.93922651934,38357.82872928177,36007.983425414364,33368.87845303868,31192.801104972375,29601.911602209944,28490.524861878454,27787.767955801104,27562.31491712707,28072.91712707182,29073.977900552487,30395.513812154695,32065.92817679558,34023.22099447514,36132.3093922652,38165.26519337016,39973.044198895026,41527.02209944752,42629.88950276243,43411.7955801105,43765.988950276245,43499.74585635359
3,37435.181818181816,38708.36363636364,39205.27272727273,38956.36363636364,38274.27272727273,37136.09090909091,36168.181818181816,35597.545454545456,35427.818181818184,35513.545454545456,35690.818181818184,36466.18181818182,37859.90909090909,39936.181818181816,41054.181818181816,40786.181818181816,40090.09090909091,39132.09090909091,38019.545454545456,37031.545454545456,36188.72727272727,35439.36363636363,35039.72727272727,35425.27272727273
