date,Temperature (F)
2016-01-01,52.30400000000006
2016-01-02,49.01000000000008
2016-01-03,51.36800000000009
2016-01-04,46.79600000000005
2016-01-05,44.34800000000003
2016-01-06,47.641999999999996
2016-01-07,55.31000000000009
2016-01-08,58.406000000000034
2016-01-09,56.19199999999999
2016-01-10,52.610000000000085
2016-01-11,45.14000000000002
2016-01-12,51.20600000000003
2016-01-13,50.88200000000002
2016-01-14,56.75
2016-01-15,55.36400000000003
2016-01-16,57.97400000000002
2016-01-17,48.434
2016-01-18,41.54000000000002
2016-01-19,42.13399999999999
2016-01-20,47.55200000000008
2016-01-21,52.682000000000016
2016-01-22,48.21800000000009
2016-01-23,37.09400000000007
2016-01-24,47.89400000000008
2016-01-25,54.96800000000009
2016-01-26,57.14600000000005
2016-01-27,52.80800000000001
2016-01-28,52.03399999999999
2016-01-29,56.3
2016-01-30,62.13200000000002
2016-01-31,64.00400000000005
2016-02-01,69.566
2016-02-02,71.90600000000003
2016-02-03,64.67000000000007
2016-02-04,55.346000000000046
2016-02-05,49.44199999999999
2016-02-06,50.432000000000016
2016-02-07,53.366000000000014
2016-02-08,52.43000000000004
2016-02-09,41.378000000000064
2016-02-10,39.88399999999999
2016-02-11,56.48000000000005
2016-02-12,61.43000000000004
2016-02-13,49.26200000000006
2016-02-14,48.84800000000003
2016-02-15,53.690000000000026
2016-02-16,59.41400000000003
2016-02-17,56.983999999999995
2016-02-18,60.728000000000065
2016-02-19,62.51000000000008
2016-02-20,65.28200000000001
2016-02-21,65.73200000000003
2016-02-22,65.46200000000006
2016-02-23,68.0
2016-02-24,61.736000000000075
2016-02-25,52.610000000000085
2016-02-26,51.83600000000007
2016-02-27,57.92000000000006
2016-02-28,63.77000000000007
2016-03-01,69.69200000000001
2016-03-02,60.54800000000003
2016-03-03,57.38000000000004
2016-03-04,58.406000000000034
2016-03-05,62.906000000000034
2016-03-06,65.58800000000005
2016-03-07,66.88399999999999
2016-03-08,69.53000000000004
2016-03-09,72.46400000000003
2016-03-10,74.57000000000006
2016-03-11,73.25600000000003
2016-03-12,72.608
2016-03-13,74.93000000000004
2016-03-14,74.67800000000007
2016-03-15,78.90800000000002
2016-03-16,76.01000000000008
2016-03-17,73.41800000000009
2016-03-18,71.61800000000008
2016-03-19,69.584
2016-03-20,58.44199999999999
2016-03-21,56.46200000000006
2016-03-22,64.83200000000002
2016-03-23,70.10600000000002
2016-03-24,71.36600000000001
2016-03-25,69.63800000000005
2016-03-26,70.55600000000004
2016-03-27,68.52200000000005
2016-03-28,71.31200000000007
2016-03-29,70.68200000000002
2016-03-30,70.01600000000002
2016-03-31,75.16400000000004
2016-04-01,71.9600000000001
2016-04-02,64.184
2016-04-03,68.234
2016-04-04,72.86000000000008
2016-04-05,68.82800000000006
2016-04-06,65.984
2016-04-07,69.96200000000006
2016-04-08,63.89600000000005
2016-04-09,62.52800000000006
2016-04-10,64.22000000000006
2016-04-11,71.61800000000008
2016-04-12,72.48200000000003
2016-04-13,66.75800000000001
2016-04-14,67.60400000000006
2016-04-15,65.44400000000007
2016-04-16,70.46600000000001
2016-04-17,72.01400000000004
2016-04-18,75.90200000000007
2016-04-19,78.458
2016-04-20,76.69400000000007
2016-04-21,75.2
2016-04-22,72.24800000000002
2016-04-23,75.75800000000001
2016-04-24,78.76400000000004
2016-04-25,78.60200000000009
2016-04-26,80.42000000000007
2016-04-27,81.15800000000002
2016-04-28,81.55400000000006
2016-04-29,84.03800000000004
2016-04-30,81.15800000000002
2016-05-01,79.08800000000005
2016-05-02,77.72000000000006
2016-05-03,76.44200000000001
2016-05-04,71.042
2016-05-05,65.55200000000008
2016-05-06,69.49400000000009
2016-05-07,77.07200000000003
2016-05-08,82.058
2016-05-09,76.316
2016-05-10,80.9600000000001
2016-05-11,83.26400000000004
2016-05-12,81.96800000000009
2016-05-13,79.46600000000001
2016-05-14,79.66400000000004
2016-05-15,72.734
2016-05-16,75.90200000000007
2016-05-17,77.72000000000006
2016-05-18,82.292
2016-05-19,80.42000000000007
2016-05-20,74.30000000000001
2016-05-21,80.99600000000005
2016-05-22,77.108
2016-05-23,80.94200000000001
2016-05-24,83.58800000000005
2016-05-25,84.97400000000002
2016-05-26,85.71200000000006
2016-05-27,84.45200000000008
2016-05-28,84.95600000000003
2016-05-29,87.42200000000004
2016-05-30,90.392
2016-05-31,90.78800000000004
2016-06-01,90.68000000000004
2016-06-02,88.86200000000005
2016-06-03,91.59800000000003
2016-06-04,86.558
2016-06-05,82.16600000000001
2016-06-06,82.22000000000006
2016-06-07,89.6
2016-06-08,87.26000000000008
2016-06-09,88.91600000000001
2016-06-10,93.092
2016-06-11,94.22600000000008
2016-06-12,91.61600000000001
2016-06-13,94.5680000000001
2016-06-14,91.54400000000007
2016-06-15,88.84400000000008
2016-06-16,92.51600000000002
2016-06-17,92.12000000000006
2016-06-18,85.60400000000006
2016-06-19,86.70200000000008
2016-06-20,89.51000000000008
2016-06-21,92.19200000000001
2016-06-22,93.99199999999999
2016-06-23,94.83800000000005
2016-06-24,96.09800000000003
2016-06-25,98.74400000000007
2016-06-26,94.85600000000002
2016-06-27,96.3680000000001
2016-06-28,90.32000000000006
2016-06-29,93.38000000000005
2016-06-30,92.35400000000006
2016-07-01,95.57600000000009
2016-07-02,98.40200000000009
2016-07-03,98.384
2016-07-04,96.3680000000001
2016-07-05,90.87800000000007
2016-07-06,87.69200000000001
2016-07-07,93.308
2016-07-08,95.03600000000007
2016-07-09,93.57800000000006
2016-07-10,93.16400000000004
2016-07-11,92.2100000000001
