date,Peak Demand (MW)
2016-05-15,38184
2016-05-16,42847
2016-05-17,46818
2016-05-18,45496
2016-05-19,39583
2016-05-20,46211
2016-05-21,46647
2016-05-22,49462
2016-05-23,49437
2016-05-24,52838
2016-05-25,54518
2016-05-26,52877
2016-05-27,47690
2016-05-28,51790
2016-05-29,50786
2016-05-30,50203
2016-05-31,50638
2016-06-01,49003
2016-06-02,47425
2016-06-03,46458
2016-06-04,44249
2016-06-05,46736
2016-06-06,57435
2016-06-07,57239
2016-06-08,58568
2016-06-09,63555
2016-06-10,62297
2016-06-11,56774
2016-06-12,53605
2016-06-13,57626
2016-06-14,61484
2016-06-15,64865
2016-06-16,64699
2016-06-17,64821
2016-06-18,63343
2016-06-19,59825
2016-06-20,62050
2016-06-21,62462
2016-06-22,64303
2016-06-23,63882
2016-06-24,61359
2016-06-25,58912
2016-06-26,58730
2016-06-27,62742
2016-06-28,61174
2016-06-29,62826
2016-06-30,64105
2016-07-01,64248
2016-07-02,62055
2016-07-03,61866
2016-07-04,60748
2016-07-05,64097
2016-07-06,66067
2016-07-07,66201
2016-07-08,66062
2016-07-09,63831
2016-07-10,61399
2016-07-11,65898
2016-07-12,66015
2016-07-13,67248
2016-07-14,67425
2016-07-15,65897
2016-07-16,63459
2016-07-17,61801
2016-07-18,64631
2016-07-19,64924
2016-07-20,67135
2016-07-21,67247
2016-07-22,67364
2016-07-23,66615
2016-07-24,66291
2016-07-25,65773
2016-07-26,59626
2016-07-27,58008
2016-07-28,60313
2016-07-29,62973
2016-07-30,63178
2016-07-31,62325
2016-08-01,67315
2016-08-02,67506
2016-08-03,68801
2016-08-04,68718
2016-08-05,68752
2016-08-06,66593
2016-08-07,66996
2016-08-08,70164
2016-08-09,69909
2016-08-10,70566
2016-08-11,71193
2016-08-12,70339
2016-08-13,63856
2016-08-14,56135
2016-08-15,49345
2016-08-16,49030
2016-08-17,49751
2016-08-18,52235
2016-08-19,54423
2016-08-20,50686
2016-08-21,49838
2016-08-22,53802
2016-08-23,62457
2016-08-24,63030
2016-08-25,61324
2016-08-26,58617
2016-08-27,57575
2016-08-28,56163
2016-08-29,53941
2016-08-30,57942
2016-08-31,58857
2016-09-01,60317
2016-09-02,57692
2016-09-03,55651
2016-09-04,55399
2016-09-05,57231
2016-09-06,62293
2016-09-07,61986
2016-09-08,63310
2016-09-09,60855
2016-09-10,57678
2016-09-11,54975
2016-09-12,59820
2016-09-13,58250
2016-09-14,59380
2016-09-15,61435
2016-09-16,61719
2016-09-17,61196
2016-09-18,62365
2016-09-19,66884
2016-09-20,65713
2016-09-21,62489
2016-09-22,61696
2016-09-23,60157
2016-09-24,56766
2016-09-25,51741
2016-09-26,44426
2016-09-27,44805
2016-09-28,52623
2016-09-29,50845
2016-09-30,45884
2016-10-01,43202
2016-10-02,47369
2016-10-03,52423
2016-10-04,55832
2016-10-05,59904
2016-10-06,57452
2016-10-07,54409
2016-10-08,44268
2016-10-09,42208
2016-10-10,45356
2016-10-11,48477
2016-10-12,55551
2016-10-13,52477
2016-10-14,47802
2016-10-15,51576
2016-10-16,54305
2016-10-17,57981
2016-10-18,57967
2016-10-19,56390
2016-10-20,53234
2016-10-21,41734
2016-10-22,37218
2016-10-23,38063
2016-10-24,47017
2016-10-25,45497
2016-10-26,48676
2016-10-27,49617
2016-10-28,48576
2016-10-29,46616
2016-10-30,48143
2016-10-31,48865
2016-11-01,49763
2016-11-02,50035
2016-11-03,48319
2016-11-04,43652
2016-11-05,41165
2016-11-06,37778
2016-11-07,39905
2016-11-08,40751
2016-11-09,38390
2016-11-10,37934
2016-11-11,37116
2016-11-12,36755
2016-11-13,35544
2016-11-14,39107
2016-11-15,41281
2016-11-16,41945
2016-11-17,41365
2016-11-18,41832
2016-11-19,36780
2016-11-20,35081
2016-11-21,35819
2016-11-22,38084
2016-11-23,39246
2016-11-24,36875
2016-11-25,32968
2016-11-26,34755
2016-11-27,34536
2016-11-28,39224
2016-11-29,40111
2016-11-30,40484
2016-12-01,39700
2016-12-02,37881
2016-12-03,37737
2016-12-04,38613
2016-12-05,39664
2016-12-06,41449
2016-12-07,40905
2016-12-08,46819
2016-12-09,51065
2016-12-10,47267
2016-12-11,42241
2016-12-12,39062
2016-12-13,39788
2016-12-14,40538
2016-12-15,41987
2016-12-16,43255
2016-12-17,38789
2016-12-18,51818
2016-12-19,57973
2016-12-20,51661
2016-12-21,43060
2016-12-22,39041
2016-12-23,39154
2016-12-24,38714
2016-12-25,37476
2016-12-26,37330
2016-12-27,39119
2016-12-28,40072
2016-12-29,40760
2016-12-30,38076
2016-12-31,40208
2017-01-01,35717
2017-01-02,35518
2017-01-03,38172
2017-01-04,44366
2017-01-05,45065
2017-01-06,56057
2017-01-07,59662
2017-01-08,53487
2017-01-09,46545
2017-01-10,38570
2017-01-11,37999
2017-01-12,39020
2017-01-13,40000
2017-01-14,41401
2017-01-15,39778
2017-01-16,37468
2017-01-17,39191
2017-01-18,41544
2017-01-19,40005
2017-01-20,37382
2017-01-21,36299
2017-01-22,36075
2017-01-23,39819
2017-01-24,37133
2017-01-25,38387
2017-01-26,42951
2017-01-27,45451
2017-01-28,41103
2017-01-29,39811
2017-01-30,41886
2017-01-31,39181
2017-02-01,37016
2017-02-02,38507
2017-02-03,40725
2017-02-04,39591
2017-02-05,37702
2017-02-06,38461
2017-02-07,40481
2017-02-08,40375
2017-02-09,40159
2017-02-10,37277
2017-02-11,40493
2017-02-12,39896
2017-02-13,38659
2017-02-14,38993
2017-02-15,40887
2017-02-16,42733
2017-02-17,37336
2017-02-18,37002
2017-02-19,36853
2017-02-20,38114
2017-02-21,36944
2017-02-22,37496
2017-02-23,42150
2017-02-24,41463
2017-02-25,36942
2017-02-26,34470
2017-02-27,39871
2017-02-28,41147
2017-03-01,42094
2017-03-02,37583
2017-03-03,38191
2017-03-04,35177
2017-03-05,35688
2017-03-06,40489
2017-03-07,41702
2017-03-08,38490
2017-03-09,39491
2017-03-10,40062
2017-03-11,37802
2017-03-12,35294
2017-03-13,36237
2017-03-14,38080
2017-03-15,35621
2017-03-16,36364
2017-03-17,39164
2017-03-18,41068
2017-03-19,43045
2017-03-20,47096
2017-03-21,47069
2017-03-22,46372
2017-03-23,45435
2017-03-24,43371
2017-03-25,40324
2017-03-26,42712
2017-03-27,46181
2017-03-28,45451
2017-03-29,44558
2017-03-30,43273
2017-03-31,44832
2017-04-01,43556
2017-04-02,38912
2017-04-03,44402
2017-04-04,47219
2017-04-05,46180
2017-04-06,38793
2017-04-07,40414
2017-04-08,41077
2017-04-09,42700
2017-04-10,43176
2017-04-11,42320
2017-04-12,40453
2017-04-13,43970
2017-04-14,43343
2017-04-15,43099
2017-04-16,42011
2017-04-17,43049
2017-04-18,44428
2017-04-19,47710
2017-04-20,50420
2017-04-21,49573
2017-04-22,48087
2017-04-23,35026
2017-04-24,41708
2017-04-25,48804
2017-04-26,47860
2017-04-27,44877
2017-04-28,53448
2017-04-29,51526
2017-04-30,44555
2017-05-01,45223
2017-05-02,50378
2017-05-03,49159
2017-05-04,47056
2017-05-05,42625
2017-05-06,45990
2017-05-07,47249
2017-05-08,46945
2017-05-09,46110
2017-05-10,47119
2017-05-11,49966
2017-05-12,49149
2017-05-13,48686
2017-05-14,51401
2017-05-15,55306
2017-05-16,53598
2017-05-17,52577
2017-05-18,57991
2017-05-19,55358
2017-05-20,52640
2017-05-21,46267
2017-05-22,44165
2017-05-23,45991
2017-05-24,45744
2017-05-25,51131
2017-05-26,59315
2017-05-27,58054
2017-05-28,56913
2017-05-29,49951
2017-05-30,55455
2017-05-31,55409
2017-06-01,52465
2017-06-02,54578
2017-06-03,51179
2017-06-04,49168
2017-06-05,51426
2017-06-06,57915
2017-06-07,59647
2017-06-08,58594
2017-06-09,56741
2017-06-10,55057
2017-06-11,56833
2017-06-12,62040
2017-06-13,62928
2017-06-14,63112
2017-06-15,65096
2017-06-16,65725
2017-06-17,63927
2017-06-18,61621
2017-06-19,61482
2017-06-20,64783
2017-06-21,62672
2017-06-22,60688
2017-06-23,67699
2017-06-24,65700
2017-06-25,53009
2017-06-26,57487
2017-06-27,56188
2017-06-28,60529
2017-06-29,63731
2017-06-30,65206
2017-07-01,63204
2017-07-02,61338
2017-07-03,64134
2017-07-04,62377
2017-07-05,65899
2017-07-06,64438
2017-07-07,64125
2017-07-08,62619
2017-07-09,59330
2017-07-10,62031
2017-07-11,65078
2017-07-12,63391
2017-07-13,64438
2017-07-14,65208
2017-07-15,63804
2017-07-16,60971
2017-07-17,64153
2017-07-18,65570
2017-07-19,66687
2017-07-20,68801
2017-07-21,68440
2017-07-22,66237
2017-07-23,64694
2017-07-24,65682
2017-07-25,68117
2017-07-26,67924
2017-07-27,68669
2017-07-28,69531
2017-07-29,68420
2017-07-30,66498
2017-07-31,64909
2017-08-01,62679
2017-08-02,59561
2017-08-03,60714
2017-08-04,64363
2017-08-05,62962
2017-08-06,61616
2017-08-07,60150
2017-08-08,58426
2017-08-09,63475
2017-08-10,67224
2017-08-11,67259
2017-08-12,65612
2017-08-13,61889
2017-08-14,66172
2017-08-15,67240
2017-08-16,67966
2017-08-17,66458
2017-08-18,65262
2017-08-19,67149
2017-08-20,65540
2017-08-21,65952
2017-08-22,67480
2017-08-23,66315
2017-08-24,60599
2017-08-25,56982
2017-08-26,48444
2017-08-27,43719
2017-08-28,44867
2017-08-29,48567
2017-08-30,52377
2017-08-31,56513
2017-09-01,57058
2017-09-02,56924
2017-09-03,56839
2017-09-04,58322
2017-09-05,59305
2017-09-06,56004
2017-09-07,50521
2017-09-08,50422
2017-09-09,49910
