,DB
2,1.1092693577724844
3,1.0724346140928496
4,1.3470539819194896
5,1.3158378976912832
6,1.195042166129077
7,1.123630652714846
8,1.153607903517348
9,1.1851620479435576
10,1.113667658998969
11,1.138655539365611
12,1.1420316117408178
13,1.0875940191697044
14,1.0312701376042719
