,Silhouette,DB
3,0.2678469651111468,1.347909581714939
4,0.2531898816354189,1.2683693047020146
5,0.24915661562684085,1.2930546665113005
6,0.22925602330245937,1.3694719673560949
7,0.22912342483528278,1.2972486421802334
8,0.22174861873725707,1.3266690818090394
9,0.19981365650705102,1.4021817383595547
10,0.21358949664946522,1.3863132524827444
11,0.20030927058732664,1.3694951631420471
12,0.19203942648151232,1.4329253774408404
13,0.20325665171582483,1.3750325880000174
14,0.1984857446710281,1.3728189573205472
