,DB
2,1.1945996369707812
3,1.1547349427547806
4,1.153002751289951
5,1.2529280385395805
6,1.1997675604517049
7,1.305355540687471
8,1.2848283347531229
9,1.3055860547221352
10,1.262001703730966
11,1.243154237740698
12,1.2752510572241242
13,1.2417807146203543
14,1.2345587639632731
