date,Peak Demand (MW)
2016-05-15,27495
2016-05-16,28268
2016-05-17,29739
2016-05-18,31318
2016-05-19,32215
2016-05-20,30275
2016-05-21,27597
2016-05-22,26123
2016-05-23,26609
2016-05-24,28434
2016-05-25,28536
2016-05-26,28707
2016-05-27,29291
2016-05-28,29492
2016-05-29,28466
2016-05-30,27604
2016-05-31,32127
2016-06-01,34249
2016-06-02,35090
2016-06-03,37882
2016-06-04,40127
2016-06-05,35436
2016-06-06,33282
2016-06-07,34420
2016-06-08,33927
2016-06-09,33515
2016-06-10,31451
2016-06-11,30864
2016-06-12,28883
2016-06-13,29604
2016-06-14,30862
2016-06-15,30380
2016-06-16,29845
2016-06-17,31705
2016-06-18,33166
2016-06-19,34043
2016-06-20,42670
2016-06-21,44450
2016-06-22,40892
2016-06-23,39497
2016-06-24,38254
2016-06-25,36452
2016-06-26,36439
2016-06-27,41676
2016-06-28,43251
2016-06-29,43022
2016-06-30,41958
2016-07-01,40898
2016-07-02,39051
2016-07-03,34485
2016-07-04,32581
2016-07-05,32882
2016-07-06,34768
2016-07-07,34416
2016-07-08,35192
2016-07-09,36199
2016-07-10,34245
2016-07-11,34225
2016-07-12,36984
2016-07-13,37475
2016-07-14,40630
2016-07-15,41462
2016-07-16,39749
2016-07-17,35392
2016-07-18,34238
2016-07-19,36806
2016-07-20,38546
2016-07-21,41029
2016-07-22,41632
2016-07-23,43189
2016-07-24,40641
2016-07-25,41791
2016-07-26,43987
2016-07-27,45671
2016-07-28,46005
2016-07-29,45056
2016-07-30,44876
2016-07-31,40569
2016-08-01,39282
2016-08-02,41160
2016-08-03,41224
2016-08-04,40451
2016-08-05,38778
2016-08-06,37003
2016-08-07,34447
2016-08-08,35377
2016-08-09,37552
2016-08-10,37829
2016-08-11,37994
2016-08-12,38308
2016-08-13,39573
2016-08-14,39375
2016-08-15,41587
2016-08-16,43794
2016-08-17,43094
2016-08-18,42752
2016-08-19,41406
2016-08-20,39538
2016-08-21,35228
2016-08-22,35939
2016-08-23,37783
2016-08-24,37872
2016-08-25,38256
2016-08-26,36159
2016-08-27,33401
2016-08-28,30614
2016-08-29,36925
2016-08-30,39389
2016-08-31,41033
2016-09-01,40471
2016-09-02,37494
2016-09-03,35309
2016-09-04,29134
2016-09-05,27559
2016-09-06,32212
2016-09-07,34892
2016-09-08,36670
2016-09-09,35319
2016-09-10,35748
2016-09-11,33848
2016-09-12,31287
2016-09-13,31805
2016-09-14,29634
2016-09-15,30762
2016-09-16,31603
2016-09-17,32257
2016-09-18,34739
2016-09-19,38587
2016-09-20,38633
2016-09-21,35823
2016-09-22,34836
2016-09-23,30506
2016-09-24,30247
2016-09-25,33887
2016-09-26,42112
2016-09-27,42838
2016-09-28,40777
2016-09-29,39137
2016-09-30,37889
2016-10-01,35230
2016-10-02,29959
2016-10-03,28274
2016-10-04,30122
2016-10-05,30016
2016-10-06,30047
2016-10-07,31183
2016-10-08,31691
2016-10-09,30909
2016-10-10,31970
2016-10-11,32430
2016-10-12,30248
2016-10-13,29784
2016-10-14,30022
2016-10-15,29263
2016-10-16,28217
2016-10-17,28005
2016-10-18,29897
2016-10-19,29932
2016-10-20,31933
2016-10-21,32829
2016-10-22,32264
2016-10-23,27358
2016-10-24,27476
2016-10-25,28696
2016-10-26,29121
2016-10-27,29547
2016-10-28,29368
2016-10-29,27933
2016-10-30,27429
2016-10-31,27005
2016-11-01,27658
2016-11-02,28720
2016-11-03,28415
2016-11-04,29956
2016-11-05,29162
2016-11-06,26768
2016-11-07,28108
2016-11-08,30198
2016-11-09,31726
2016-11-10,32668
2016-11-11,31961
2016-11-12,30255
2016-11-13,27458
2016-11-14,28641
2016-11-15,30699
2016-11-16,29537
2016-11-17,28841
2016-11-18,28736
2016-11-19,28055
2016-11-20,26122
2016-11-21,26428
2016-11-22,28539
2016-11-23,28773
2016-11-24,28462
2016-11-25,24111
2016-11-26,26251
2016-11-27,26698
2016-11-28,27373
2016-11-29,29972
2016-11-30,29739
2016-12-01,29718
2016-12-02,29671
2016-12-03,29300
2016-12-04,27091
2016-12-05,27686
2016-12-06,30525
2016-12-07,30567
2016-12-08,31036
2016-12-09,30290
2016-12-10,29364
2016-12-11,27375
2016-12-12,27757
2016-12-13,30272
2016-12-14,30292
2016-12-15,30049
2016-12-16,30356
2016-12-17,29643
2016-12-18,28354
2016-12-19,28649
2016-12-20,30852
2016-12-21,30421
2016-12-22,30362
2016-12-23,29951
2016-12-24,29204
2016-12-25,27081
2016-12-26,25996
2016-12-27,28698
2016-12-28,29361
2016-12-29,28949
2016-12-30,28892
2016-12-31,28220
2017-01-01,27670
2017-01-02,26601
2017-01-03,28547
2017-01-04,30511
2017-01-05,29698
2017-01-06,29646
2017-01-07,29526
2017-01-08,27517
2017-01-09,27042
2017-01-10,29635
2017-01-11,30155
2017-01-12,29689
2017-01-13,30614
2017-01-14,29577
2017-01-15,27597
2017-01-16,27530
