,DB
2,0.5938814996780751
3,0.6352533507752884
4,0.8232178450249836
5,1.0157001254523073
6,0.9913366770395559
7,0.9883222844901346
8,0.9598884423654321
9,0.9061715815394175
10,0.9489991817434882
11,0.8613179291760098
12,0.8833373070814314
13,0.9017851205058276
14,0.7514751520725594
