date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-08-10,30714,31659,32357,32316,31349,31502,30139,27794,25472,23934,22987,22305,22097,22500,23770,25418,26952,28325,29473,30409,30919,31734,32907,34074
2015-08-11,34666,35351,35311,34652,33646,33652,31890,29077,26541,24878,23944,23213,22844,23117,24359,25638,26988,28066,29214,30104,30919,31846,32948,34237
2015-08-12,34927,35661,35776,35131,34161,34162,32527,29648,27095,25338,24186,23359,23009,23220,24409,25701,26958,28515,29691,30969,32215,33434,35019,36590
2015-08-13,38101,39117,39286,38617,37304,36867,34863,31605,28632,26656,25578,24719,24288,24495,25676,27256,28845,30243,31485,33138,34833,36528,38380,39889
2015-08-14,40907,41561,41204,40060,38680,38281,36075,32810,29699,27451,25833,24873,24596,24630,25416,26807,28507,30237,31916,33767,35495,37042,38856,40453
2015-08-15,41575,42103,41840,40665,39084,38413,36414,33357,30223,27884,25994,24713,24127,23952,24161,24474,25582,27596,29483,31836,34230,36475,38561,40241
2015-08-16,41562,42426,42539,41594,39974,39128,36928,33640,30810,28530,26842,25402,24527,24068,23967,23792,24722,26613,28564,31186,33892,36338,38533,40351
2015-08-17,41991,42828,43356,42844,41432,40683,38069,34372,30947,28273,26614,25504,24865,25073,26365,27967,29745,31949,34053,36081,37775,39435,41298,42551
2015-08-18,43546,44164,43679,42588,40957,39821,36958,33206,29772,27711,26252,25129,24465,24744,26014,27674,28936,30308,31335,32764,34320,35572,37236,38653
2015-08-19,39884,40622,40309,39144,37877,37527,35088,31609,28616,26474,25169,24440,23992,24226,25369,26872,28050,29162,30392,31669,32664,33657,35158,36635
2015-08-20,37945,38648,38466,37282,35906,35515,33350,30152,27414,26034,25035,24188,23900,24078,25172,26844,28015,29225,30024,31130,32033,32841,34042,35146
2015-08-21,36398,37278,37136,36149,35180,35226,33218,30267,27658,25994,24926,24060,23587,23915,24926,26553,28109,29095,29870,30989,31499,32031,33279,34487
2015-08-22,35548,36222,35989,34940,34021,33838,32046,29397,27062,25600,24488,23557,23098,23182,23740,24057,24697,25933,26886,27971,28951,29995,31110,32151
2015-08-23,33206,34078,34361,33782,32955,32820,31282,29210,26968,25279,24169,23221,22614,22355,22498,22607,23000,24444,25630,26798,28125,28945,30644,32360
2015-08-24,33753,34813,35053,34677,34003,33882,32034,29339,26749,24933,23796,23086,22840,23356,24759,26721,28111,29417,30768,32426,33898,35333,37201,38777
2015-08-25,40035,40813,40741,40841,40539,37602,34980,31589,28686,26753,25284,24292,23788,24180,25491,27553,28758,30225,31401,32451,33555,34331,35621,36918
2015-08-26,38058,38673,38860,38298,37905,37824,35514,32187,29214,27207,25680,24600,24093,24388,25687,27624,28979,30269,31926,33883,35717,37413,39552,41310
2015-08-27,42670,43072,42772,41492,40974,40445,37565,33748,30242,27975,26305,25422,24924,25006,25979,27821,29250,31183,33218,35480,37703,39638,41799,43474
2015-08-28,44766,45460,45037,43385,42566,41739,38812,34844,31370,28978,27235,25983,25323,25452,26757,28379,29910,32072,34341,36901,39315,41486,43723,45403
2015-08-29,46746,46780,45842,43843,42535,41455,38733,35393,32258,29818,27899,26483,25460,25089,25282,25796,26858,28637,30551,32483,34281,35956,37302,38535
2015-08-30,39419,39802,39635,38439,37324,36705,34769,32449,29886,27878,26213,24996,24023,23601,23636,23752,24447,26106,27739,29124,30523,31609,32978,34271
2015-08-31,35135,35974,36176,35356,34498,34180,32186,29444,27078,25445,24235,23515,23265,23844,25089,26997,28233,29634,30741,32072,33285,34387,35826,37120
2015-09-01,38146,38827,38455,37146,36162,35368,32993,30112,27774,26317,25322,24498,24126,24427,25681,27117,28158,29181,30232,31335,32255,33233,34555,35747
2015-09-02,36719,37282,36760,35533,35183,34780,32570,29715,27173,25532,24473,23722,23347,23665,24794,26784,27898,28991,29920,30859,31647,32255,33352,34031
2015-09-03,34914,35400,35115,34162,33839,33641,31530,28855,26447,24836,23785,23038,22741,23096,24222,26050,27017,28166,28929,29477,29865,30282,31245,32087
2015-09-04,32844,33386,32989,32185,32222,32193,30394,27873,25598,24158,23184,22829,22671,22978,23885,25374,26610,27413,28437,28975,29153,29416,30062,30397
2015-09-05,30836,31201,31126,30436,30595,30637,29169,27189,25342,23785,22965,22279,21874,21875,22262,22680,22987,24338,25154,25674,25965,26458,27181,28071
2015-09-06,28995,29595,29707,29446,29594,29540,28214,26559,24834,23648,22740,21986,21543,21384,21510,21565,21863,22824,23777,24753,25868,26739,27917,28919
2015-09-07,30331,31536,32192,31950,31758,31428,29871,27840,25802,24269,23055,22191,21742,21621,21699,21865,22359,23780,25528,27632,29752,31908,33815,35633
