,DB
2,1.1606382176107695
3,1.1825015886808903
4,1.175152641126156
5,1.1162332966965705
6,1.2495050598786637
7,1.2026823746089044
8,1.2494100305913904
9,1.2629242207922835
10,1.280549044017607
11,1.2647868573861947
12,1.3058343622109725
13,1.257515085822308
14,1.3294760358080389
