date,Peak Demand (MW)
2016-05-15,2175
2016-05-16,2391
2016-05-17,2407
2016-05-18,2481
2016-05-19,2440
2016-05-20,2376
2016-05-21,2224
2016-05-22,2133
2016-05-23,2359
2016-05-24,2397
2016-05-25,2379
2016-05-26,2357
2016-05-27,2341
2016-05-28,2217
2016-05-29,2103
2016-05-30,2178
2016-05-31,2796
2016-06-01,2924
2016-06-02,2785
2016-06-03,2868
2016-06-04,3241
2016-06-05,3368
2016-06-06,3512
2016-06-07,3600
2016-06-08,3373
2016-06-09,2671
2016-06-10,2338
2016-06-11,2243
2016-06-12,2107
2016-06-13,2390
2016-06-14,2340
2016-06-15,2352
2016-06-16,2355
2016-06-17,2367
2016-06-18,2284
2016-06-19,2086
2016-06-20,2700
2016-06-21,2704
2016-06-22,2662
2016-06-23,2732
2016-06-24,2376
2016-06-25,2281
2016-06-26,2627
2016-06-27,3258
2016-06-28,3339
2016-06-29,2965
2016-06-30,2771
2016-07-01,2738
2016-07-02,2742
2016-07-03,2737
2016-07-04,2342
2016-07-05,2425
2016-07-06,2667
2016-07-07,2755
2016-07-08,2483
2016-07-09,2458
2016-07-10,2164
2016-07-11,2462
2016-07-12,2536
2016-07-13,2678
2016-07-14,2767
2016-07-15,2841
2016-07-16,2417
2016-07-17,2274
2016-07-18,2609
2016-07-19,2627
2016-07-20,2853
2016-07-21,3059
2016-07-22,3142
2016-07-23,2472
2016-07-24,2545
2016-07-25,3176
2016-07-26,3346
2016-07-27,3128
2016-07-28,3390
2016-07-29,3536
2016-07-30,3570
2016-07-31,2690
2016-08-01,2649
2016-08-02,2813
2016-08-03,2664
2016-08-04,3202
2016-08-05,3317
2016-08-06,2900
2016-08-07,2411
2016-08-08,2471
2016-08-09,2459
2016-08-10,2643
2016-08-11,3045
2016-08-12,3476
2016-08-13,3543
2016-08-14,3317
2016-08-15,3171
2016-08-16,3289
2016-08-17,3206
2016-08-18,3592
2016-08-19,3730
2016-08-20,3724
2016-08-21,3502
2016-08-22,2827
2016-08-23,2759
2016-08-24,3195
2016-08-25,3443
2016-08-26,3523
2016-08-27,3531
2016-08-28,2796
2016-08-29,3003
2016-08-30,3091
2016-08-31,2595
2016-09-01,2487
2016-09-02,2394
2016-09-03,2320
2016-09-04,2126
2016-09-05,2129
2016-09-06,2421
2016-09-07,2491
2016-09-08,2552
2016-09-09,2567
2016-09-10,2630
2016-09-11,2648
2016-09-12,2530
2016-09-13,2592
2016-09-14,2632
2016-09-15,2624
2016-09-16,2654
2016-09-17,2663
2016-09-18,2248
2016-09-19,2370
2016-09-20,2464
2016-09-21,2442
2016-09-22,2463
