,DB
2,0.5776765423920475
3,0.7521905542563276
4,0.8213594876318309
5,0.9765346522919502
6,1.0683601276762174
7,1.0993312146171503
8,1.0445003897950427
9,1.0893988268646977
10,1.1339170480679903
11,1.1373421670188306
12,1.202450445688967
13,1.1510519512981023
14,1.1952564616168841
