,DB
2,0.9740151329972268
3,1.1390125783101663
4,1.215583191892319
5,1.1735329855943388
6,1.2682820290621253
7,1.307483862703972
8,1.3229047431471501
9,1.3279314008401923
10,1.3314483173247893
11,1.2894506249045243
12,1.3109466556731235
13,1.3117754626866538
14,1.297698669479562
