,DB
2,1.0572434155779338
3,1.1306112032271995
4,1.079699490272001
5,1.040092613747399
6,1.0962390133720403
7,1.1764691719610203
8,1.1628393797250496
9,1.142856915531331
10,1.1122848297707935
11,1.0330132413224398
12,1.014300368269555
13,0.9697215706656266
14,1.0069763056104741
